cohort,dbh,height,agb
5,3,2.8,3.06
5,4.5,3.33,9.22
5,5.5,3.46,10.98
5,4,3.49,9.3
5,5,3.85,10.58
5,6.5,3.9,15.56
5,6,4.14,11.1
5,5.2,4.2,9.53
5,7,4.24,13.82
5,6.2,4.5,15.62
5,5.3,5.6,11.47
12,7.3,8.35,21.96
12,6.6,7.24,13.58
12,11.5,8.4,68.9
12,7.7,8.21,23.85
12,2.4,3.52,0.66
12,4.6,6.62,6.7
12,3.7,4.19,3.38
12,6.5,6.27,13.66
12,3.9,5.05,4.95
12,3.2,5.53,3.1
12,8.4,8.68,23.87
12,7.6,8.2,31.45
12,9.2,8.22,45.78
12,2.9,5.74,3.24
12,6.9,6.81,14.72
12,6.5,6.94,10.2
12,5.8,6.32,9.26
12,7.3,8.31,21.36
12,3.2,4.93,2.7
12,8,8.12,22.8
12,4.6,5.82,6.1
12,3.7,5.61,3.7
12,4.5,6.06,5.01
12,5.9,6.04,11.66
12,6.5,6.38,19.12
12,6,6.94,11.74
12,4.8,8.28,9.38
12,5.3,8.06,10.08
12,8,8.89,33.3
12,8.8,8.35,43.84
12,5.8,7.49,15.96
12,6.7,8.01,17.08
12,5.7,7.37,15.52
12,4,6.44,5.62
12,6.7,7.22,25.58
12,8.7,7.85,47.02
12,6.4,6.73,17.48
12,6.4,7.28,13.36
12,5.7,6.99,12.39
12,6.5,7.57,16.35
12,7.8,8.87,27.09
12,4.7,7.96,9.83
12,6.7,8.48,15.89
12,5.7,7.42,12.19
12,4.8,7.77,9.43
12,4.8,7.44,11.75
12,5.4,5.64,11.24
12,7.2,8.46,30.57
12,7.3,7.53,23.26
12,9.5,8.6,66.05
6,0.9,0.81,0.084
6,2.1,1.1,0.295
6,3.4,1.5,1.793
6,3.3,2.16,2.977
6,3.4,1.7,1.373
6,4.1,2.6,3.612
6,3.4,2.25,3.905
6,3.5,2.35,3.921
6,3.6,2.53,6.639
6,4.9,3.02,9.109
6,4.6,3.38,10.547
6,6.4,3.95,16.242
